feature,importance
"City_Jabalpur, India",5.3645393864785444e-05
"City_Sheopur, India",5.334480083312511e-05
"City_Aurangabad, India",5.3212347153259045e-05
"City_Malur, India",5.319046235905158e-05
"City_Raayachuru, India",5.313496210977218e-05
"City_Bhuj, India",5.308921426570753e-05
"City_Sonepur, India",5.2272609015037826e-05
"City_Lakhisarai, India",5.22357728816155e-05
"City_Raigarh, India",5.1998049714052196e-05
"City_Durg, India",5.1912774953428936e-05
"City_Giridih, India",5.1902607308243264e-05
"City_Sangareddy, India",5.1870033101473897e-05
"City_Talaja, India",5.18509767643244e-05
"City_Naugachhia, India",5.1779122433953824e-05
"City_Makrana, India",5.169305493110416e-05
"City_Machilipatnam, India",5.1590961622218193e-05
"City_Rajgir, India",5.1548338672085285e-05
"City_Agartala, India",5.1135651185796126e-05
"City_Peddapuram, India",5.10383597428293e-05
"City_Cherthala, India",5.094381607215185e-05
"City_Murwara (Katni), India",5.083390975588847e-05
"City_Nagpur, India",5.0214245248042635e-05
"City_Savner, India",5.0083957647854904e-05
"City_Pehowa, India",5.008146478199306e-05
"City_Manjlegaon, India",5.0062703511751116e-05
"City_Yanam, India",4.97016707805701e-05
"City_Tirukalukundram, India",4.951349055330422e-05
"City_Upleta, India",4.936374122173237e-05
"City_Nagaon, India",4.9251858418565804e-05
"City_Wadhwan, India",4.924552550028395e-05
"City_Yemmiganur, India",4.9171681916921524e-05
"City_Alwar, India",4.888041933601048e-05
"City_Sumerpur, India",4.8562587815318095e-05
"City_Muddebihal, India",4.854051128982782e-05
"City_Jhumri Tilaiya, India",4.8529958079137275e-05
"City_Rawatbhata, India",4.832814478188228e-05
"City_Sehore, India",4.819560235843364e-05
"City_Partur, India",4.815603148615971e-05
"City_Chandigarh, India",4.786686587861601e-05
"City_Siddipet, India",4.780383047370866e-05
"City_Jehanabad, India",4.753863122517422e-05
"City_Naidupet, India",4.738268154903758e-05
"City_Chirmiri, India",4.6931295541650765e-05
"City_Akola, India",4.6844628278058425e-05
"City_Limbdi, India",4.673763817093476e-05
"City_Sahibganj, India",4.666087616726259e-05
"City_Kaithal, India",4.655463684460758e-05
"City_Sankeshwara, India",4.64480535299042e-05
"City_Bhopal, India",4.6364582048520254e-05
"City_Bhainsa, India",4.633190510265898e-05
"City_Tiruvannamalai, India",4.623637017768238e-05
"City_Nuzvid, India",4.6182292680844356e-05
"City_Nautanwa, India",4.5975721332092045e-05
"City_Kakinada, India",4.583000704363749e-05
"City_Kapadvanj, India",4.569860284326726e-05
"City_Wokha, India",4.5672982028140005e-05
"City_Karwar, India",4.546669403448996e-05
"City_Sabalgarh, India",4.544867646475603e-05
"City_Utraula, India",4.527208453317678e-05
"City_Ujjain, India",4.5152754432221384e-05
